   31.2205  121.3499   72.5783
   31.2253  121.3502   95.8502
   31.2257  121.3556   47.6179
   31.2225  121.3601   48.5939
   31.2199  121.3579   47.0719
   31.2205  121.3505   55.3662
   31.2225  121.3527   69.7823
   31.2221  121.3588   65.0933
   31.2243  121.3605   65.3958
   31.2255  121.3608   55.8782
   31.2257  121.3582   64.2871
   31.2257  121.3462   87.2518
   31.2285  121.3457   82.9020
   31.2265  121.3567   56.5974
   31.2259  121.3534   55.6048
   31.2280  121.3491   80.1224
   31.2227  121.3504   52.7046
   31.2210  121.3566   82.7046
   31.2282  121.3557   68.6743
   31.2285  121.3448   59.5078
   31.2285  121.3454   58.6037
   31.2225  121.3506   79.4678
   31.2163  121.3516   96.1139
   31.2106  121.3589   39.7094
   31.2111  121.3608   94.5356
   31.2131  121.3574   23.9977
   31.2135  121.3530   43.2494
   31.2129  121.3590   58.1435
   31.2176  121.3599   65.6235
   31.2221  121.3601   62.6176
   31.2198  121.3565   77.4062
   31.2163  121.3564   57.7313
   31.2199  121.3581   43.4446
   31.2137  121.3600   62.3203
   31.2111  121.3531   53.6097
   31.2257  121.3554   99.4899
   31.2197  121.3564   82.2738
   31.2148  121.3567   39.0022
   31.2122  121.3577   63.1462
   31.2177  121.3565   59.8975
   31.2224  121.3547   71.0398
   31.2245  121.3449   24.8354
   31.2222  121.3539   53.2578
   31.2200  121.3537   61.3347
   31.2116  121.3547   97.7518
   31.2135  121.3545   69.8322
   31.2160  121.3577   68.4135
   31.2157  121.3595   64.6729
   31.2162  121.3523   95.5561
   31.2203  121.3484   35.9405
   31.2164  121.3519   59.2657
   31.2174  121.3597   98.0942
   31.2199  121.3578   37.4855
   31.2205  121.3510   43.2563
